epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
87,9039.98,1.14905,1.11076,0.01294,0.76193,0.70774,0.72946,0.48285,1.16123,1.12741,0.01689,0.0183894,0.00612981,0.0183894,0.00612981,0.0183894,0.00612981,0.0183894,0.00612981
88,9143.67,1.15539,1.11112,0.01287,0.74419,0.71789,0.72225,0.47826,1.15758,1.14721,0.01674,0.0181614,0.0060538,0.0181614,0.0060538,0.0181614,0.0060538,0.0181614,0.0060538
89,9248.16,1.14454,1.10213,0.01299,0.7781,0.70268,0.72608,0.47852,1.15784,1.15948,0.01696,0.0179326,0.00597754,0.0179326,0.00597754,0.0179326,0.00597754,0.0179326,0.00597754
90,9351.93,1.14652,1.10865,0.01296,0.74941,0.71716,0.72819,0.48017,1.16644,1.1478,0.01719,0.0177031,0.00590105,0.0177031,0.00590105,0.0177031,0.00590105,0.0177031,0.00590105
91,9456.56,1.13913,1.0875,0.01285,0.77941,0.68911,0.72323,0.48129,1.17383,1.14922,0.01731,0.0174731,0.00582435,0.0174731,0.00582435,0.0174731,0.00582435,0.0174731,0.00582435
92,9561.01,1.14204,1.08857,0.01264,0.78466,0.70197,0.72935,0.48578,1.1537,1.12571,0.01664,0.0172424,0.00574746,0.0172424,0.00574746,0.0172424,0.00574746,0.0172424,0.00574746
93,9664.85,1.13752,1.10071,0.01292,0.7674,0.72044,0.73446,0.48606,1.15009,1.13295,0.01657,0.0170112,0.0056704,0.0170112,0.0056704,0.0170112,0.0056704,0.0170112,0.0056704
94,9767.84,1.14072,1.09154,0.01283,0.75294,0.72753,0.72621,0.48205,1.16129,1.13873,0.0169,0.0167796,0.00559318,0.0167796,0.00559318,0.0167796,0.00559318,0.0167796,0.00559318
95,9871.31,1.13405,1.08184,0.01268,0.74137,0.7332,0.72772,0.48229,1.16571,1.12429,0.01692,0.0165475,0.00551584,0.0165475,0.00551584,0.0165475,0.00551584,0.0165475,0.00551584
96,9973.79,1.11996,1.0613,0.01247,0.76086,0.7074,0.72411,0.48719,1.14456,1.13078,0.01652,0.0163151,0.00543837,0.0163151,0.00543837,0.0163151,0.00543837,0.0163151,0.00543837
97,10076.6,1.12078,1.07463,0.01254,0.75137,0.72079,0.72899,0.4878,1.14018,1.1335,0.0161,0.0160824,0.00536081,0.0160824,0.00536081,0.0160824,0.00536081,0.0160824,0.00536081
98,10179.4,1.12147,1.06062,0.01244,0.74835,0.71302,0.72961,0.48796,1.14625,1.11283,0.01638,0.0158495,0.00528318,0.0158495,0.00528318,0.0158495,0.00528318,0.0158495,0.00528318
99,10282.5,1.12776,1.06053,0.01262,0.74157,0.72473,0.72939,0.49116,1.13659,1.10353,0.01623,0.0156164,0.00520548,0.0156164,0.00520548,0.0156164,0.00520548,0.0156164,0.00520548
100,10387,1.13209,1.07311,0.01268,0.7869,0.69827,0.73945,0.49635,1.13386,1.08807,0.01628,0.0153833,0.00512775,0.0153833,0.00512775,0.0153833,0.00512775,0.0153833,0.00512775
101,10489.8,1.11713,1.05641,0.01267,0.75805,0.71328,0.73663,0.49267,1.12633,1.11257,0.01617,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
102,10592.2,1.11499,1.067,0.01255,0.7622,0.71114,0.73318,0.49224,1.12153,1.15894,0.01588,0.0149167,0.00497225,0.0149167,0.00497225,0.0149167,0.00497225,0.0149167,0.00497225
103,10694.5,1.1121,1.04156,0.01231,0.73301,0.7389,0.7305,0.49196,1.14175,1.14213,0.01626,0.0146836,0.00489452,0.0146836,0.00489452,0.0146836,0.00489452,0.0146836,0.00489452
104,10797.2,1.10821,1.03811,0.01218,0.75139,0.7246,0.72966,0.49236,1.13127,1.15008,0.01591,0.0144505,0.00481682,0.0144505,0.00481682,0.0144505,0.00481682,0.0144505,0.00481682
105,10900,1.10206,1.05125,0.01251,0.74855,0.72812,0.72487,0.49103,1.14102,1.15489,0.01631,0.0142176,0.00473919,0.0142176,0.00473919,0.0142176,0.00473919,0.0142176,0.00473919
106,11002.6,1.09624,1.02617,0.01223,0.76615,0.71283,0.72594,0.49476,1.13239,1.16854,0.01607,0.0139849,0.00466163,0.0139849,0.00466163,0.0139849,0.00466163,0.0139849,0.00466163
107,11106.1,1.10919,1.04407,0.01226,0.76022,0.72942,0.7333,0.49608,1.14193,1.15864,0.01645,0.0137525,0.00458416,0.0137525,0.00458416,0.0137525,0.00458416,0.0137525,0.00458416
108,11208.8,1.09875,1.02494,0.01214,0.7538,0.73586,0.73782,0.49546,1.13671,1.167,0.01647,0.0135204,0.00450682,0.0135204,0.00450682,0.0135204,0.00450682,0.0135204,0.00450682
109,11312.9,1.10517,1.05582,0.01227,0.77049,0.7162,0.73587,0.49584,1.14504,1.13113,0.0167,0.0132888,0.0044296,0.0132888,0.0044296,0.0132888,0.0044296,0.0132888,0.0044296
110,11416.6,1.08054,1.00972,0.01205,0.76895,0.70804,0.73334,0.49165,1.13322,1.15419,0.01651,0.0130576,0.00435254,0.0130576,0.00435254,0.0130576,0.00435254,0.0130576,0.00435254
111,11521.6,1.08794,1.02419,0.01212,0.76684,0.71491,0.73314,0.48962,1.13988,1.15,0.01668,0.0128269,0.00427565,0.0128269,0.00427565,0.0128269,0.00427565,0.0128269,0.00427565
112,11626.1,1.08033,1.01792,0.01212,0.77708,0.72139,0.73439,0.49095,1.1616,1.13118,0.017,0.0125969,0.00419895,0.0125969,0.00419895,0.0125969,0.00419895,0.0125969,0.00419895
113,11729.4,1.08788,1.00973,0.01206,0.76032,0.73127,0.74146,0.49247,1.15351,1.14608,0.01688,0.0123674,0.00412246,0.0123674,0.00412246,0.0123674,0.00412246,0.0123674,0.00412246
114,11832.6,1.07219,0.99398,0.01195,0.76523,0.7253,0.7362,0.49221,1.15761,1.13455,0.01695,0.0121386,0.0040462,0.0121386,0.0040462,0.0121386,0.0040462,0.0121386,0.0040462
115,11936.2,1.08342,1.01329,0.01208,0.76446,0.72441,0.73682,0.49292,1.15682,1.12251,0.01663,0.0119106,0.00397019,0.0119106,0.00397019,0.0119106,0.00397019,0.0119106,0.00397019
116,12039.2,1.07614,0.99767,0.01188,0.77,0.71973,0.73799,0.4935,1.14519,1.13681,0.01629,0.0116833,0.00389445,0.0116833,0.00389445,0.0116833,0.00389445,0.0116833,0.00389445
117,12141.6,1.0697,0.99782,0.0119,0.76553,0.72598,0.73969,0.49655,1.13747,1.12719,0.01609,0.011457,0.00381899,0.011457,0.00381899,0.011457,0.00381899,0.011457,0.00381899
118,12243.7,1.07468,0.98422,0.01175,0.77537,0.72126,0.73706,0.49632,1.13269,1.13531,0.01597,0.0112315,0.00374383,0.0112315,0.00374383,0.0112315,0.00374383,0.0112315,0.00374383
119,12347.4,1.07504,0.99685,0.01176,0.78194,0.72154,0.73889,0.49764,1.13085,1.14597,0.01588,0.011007,0.00366899,0.011007,0.00366899,0.011007,0.00366899,0.011007,0.00366899
120,12449.5,1.06625,0.98428,0.01182,0.77951,0.72284,0.73813,0.49845,1.1277,1.15442,0.01598,0.0107835,0.0035945,0.0107835,0.0035945,0.0107835,0.0035945,0.0107835,0.0035945
121,12552.4,1.06492,0.98691,0.01171,0.77761,0.72784,0.74088,0.50133,1.13707,1.14238,0.0161,0.0105611,0.00352037,0.0105611,0.00352037,0.0105611,0.00352037,0.0105611,0.00352037
122,12654.9,1.06387,0.96969,0.01171,0.77697,0.72579,0.73624,0.49837,1.13187,1.12106,0.01596,0.0103398,0.00344661,0.0103398,0.00344661,0.0103398,0.00344661,0.0103398,0.00344661
123,12758,1.04516,0.96312,0.01165,0.76905,0.72613,0.73923,0.49726,1.1506,1.12195,0.01643,0.0101197,0.00337325,0.0101197,0.00337325,0.0101197,0.00337325,0.0101197,0.00337325
124,12861.2,1.05328,0.97147,0.01149,0.77047,0.73209,0.73853,0.49683,1.14389,1.13423,0.01622,0.0099009,0.0033003,0.0099009,0.0033003,0.0099009,0.0033003,0.0099009,0.0033003
125,12963.8,1.04878,0.94178,0.01137,0.77435,0.7262,0.73698,0.49603,1.15647,1.1214,0.01658,0.00968335,0.00322778,0.00968335,0.00322778,0.00968335,0.00322778,0.00968335,0.00322778
126,13067.5,1.05256,0.96805,0.01156,0.76636,0.72789,0.73627,0.49698,1.14829,1.13109,0.01642,0.00946715,0.00315572,0.00946715,0.00315572,0.00946715,0.00315572,0.00946715,0.00315572
