epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
74,14428.1,1.04989,0.95724,0.01194,0.76786,0.71606,0.74515,0.49956,1.10683,1.11098,0.01673,0.021261,0.007087,0.021261,0.007087,0.021261,0.007087,0.021261,0.007087
75,14598.7,1.04565,0.94965,0.01182,0.77038,0.71967,0.74533,0.49886,1.11015,1.11867,0.01723,0.0210476,0.00701588,0.0210476,0.00701588,0.0210476,0.00701588,0.0210476,0.00701588
76,14769.8,1.04423,0.93543,0.01184,0.77551,0.72231,0.74483,0.50378,1.10483,1.0874,0.01664,0.0208328,0.00694428,0.0208328,0.00694428,0.0208328,0.00694428,0.0208328,0.00694428
77,14937.7,1.03352,0.93183,0.01159,0.78704,0.70343,0.74612,0.50916,1.09129,1.10887,0.01621,0.0206166,0.00687222,0.0206166,0.00687222,0.0206166,0.00687222,0.0206166,0.00687222
78,15107.9,1.03394,0.92702,0.0116,0.76276,0.72805,0.73427,0.49469,1.11754,1.12289,0.01686,0.0203991,0.0067997,0.0203991,0.0067997,0.0203991,0.0067997,0.0203991,0.0067997
79,15276.8,1.04099,0.93255,0.01174,0.76503,0.70939,0.72934,0.49413,1.12316,1.12766,0.0167,0.0201803,0.00672675,0.0201803,0.00672675,0.0201803,0.00672675,0.0201803,0.00672675
80,15447.4,1.03091,0.91965,0.01162,0.76973,0.70269,0.73059,0.49759,1.11579,1.10313,0.01658,0.0199602,0.00665339,0.0199602,0.00665339,0.0199602,0.00665339,0.0199602,0.00665339
81,15617.5,1.02167,0.91579,0.01153,0.72619,0.73982,0.72907,0.49728,1.10314,1.11102,0.01631,0.0197389,0.00657963,0.0197389,0.00657963,0.0197389,0.00657963,0.0197389,0.00657963
82,15786.4,1.01846,0.90471,0.01157,0.76717,0.70731,0.72741,0.4913,1.09075,1.16375,0.01599,0.0195165,0.0065055,0.0195165,0.0065055,0.0195165,0.0065055,0.0195165,0.0065055
83,15954.7,1.0255,0.91728,0.01154,0.77648,0.69081,0.71781,0.49113,1.09492,1.15736,0.0162,0.019293,0.00643101,0.019293,0.00643101,0.019293,0.00643101,0.019293,0.00643101
84,16123.8,1.01325,0.90035,0.01146,0.75356,0.69747,0.71603,0.49153,1.0927,1.15635,0.01637,0.0190685,0.00635617,0.0190685,0.00635617,0.0190685,0.00635617,0.0190685,0.00635617
85,16293.8,1.01166,0.89655,0.01131,0.75396,0.71594,0.72034,0.49141,1.10824,1.14914,0.01682,0.018843,0.00628101,0.018843,0.00628101,0.018843,0.00628101,0.018843,0.00628101
